ID	Lat	Lon	Oxigen
141	419087.4649	5555378.403	36.83942657
142	419177.4649	5555378.403	35.6517001
143	418757.4649	5555368.403	35.01616755
144	418897.4649	5555368.403	35.35269714
145	418907.4649	5555368.403	35.22233976
146	418937.4649	5555368.403	36.76164916
147	418977.4649	5555368.403	34.82125427
148	419007.4649	5555368.403	34.29113451
149	419027.4649	5555368.403	33.72359639
150	419057.4649	5555368.403	32.0381633
151	419087.4649	5555368.403	28.95801012
152	419137.4649	5555368.403	28.57110931
153	418747.4649	5555358.403	30.83694527
154	418827.4649	5555358.403	33.43388968
155	418847.4649	5555358.403	33.86791815
156	419007.4649	5555358.403	33.69114723
157	419097.4649	5555358.403	31.63051435
158	419157.4649	5555358.403	37.04424391
159	418757.4649	5555348.403	35.95798318
160	418827.4649	5555348.403	34.97786615
161	418837.4649	5555348.403	31.5208325
162	419057.4649	5555348.403	28.86303936
163	419117.4649	5555348.403	30.54290436
164	419127.4649	5555348.403	33.06869318
165	418817.4649	5555338.403	33.98868675
166	418827.4649	5555338.403	33.54310511
167	419057.4649	5555338.403	30.89029799
168	419127.4649	5555338.403	41.15415556
169	419157.4649	5555338.403	37.08610111
170	418777.4649	5555328.403	35.77661892
171	418797.4649	5555328.403	39.26224094
172	418957.4649	5555328.403	37.88572147
173	418967.4649	5555328.403	35.47046412
174	418977.4649	5555328.403	34.01862692
175	418987.4649	5555328.403	49.62827225
176	419077.4649	5555328.403	44.45967331
177	419087.4649	5555328.403	42.17147228
178	418867.4649	5555318.403	43.10544701
179	418877.4649	5555318.403	41.48744514
180	418947.4649	5555318.403	37.85245237
181	419107.4649	5555318.403	44.68475597
182	418847.4649	5555308.403	42.35157543
183	418907.4649	5555308.403	40.77850727
184	418927.4649	5555308.403	38.9794504
185	418957.4649	5555308.403	38.23551985
186	418967.4649	5555308.403	38.60919504
187	419107.4649	5555308.403	37.52538485
188	419117.4649	5555308.403	37.62990204
189	418817.4649	5555298.403	33.07198965
190	418857.4649	5555298.403	31.24541889
191	418887.4649	5555298.403	36.09493221
192	418927.4649	5555298.403	35.02299936
193	418947.4649	5555298.403	37.20232004
194	418967.4649	5555298.403	38.63834253
195	418807.4649	5555288.403	37.97358421
196	418817.4649	5555288.403	33.97719688
197	418927.4649	5555288.403	31.54916986
198	418817.4649	5555278.403	31.89139863
199	418847.4649	5555278.403	39.11356361
200	418877.4649	5555278.403	37.19244808
